Time,Datetime,Frequency,Magnitude
380,2020-05-05 06:58:10,14.556,0.906
381,2020-05-05 06:58:12,10.0,1.031
382,2020-05-05 06:58:14,9.25,0.836
383,2020-05-05 06:58:30,12.462,0.817
384,2020-05-05 06:58:32,10.0,0.959
385,2020-05-05 06:58:36,14.333,0.774
386,2020-05-05 06:58:40,14.5,0.774
387,2020-05-05 06:58:42,10.333,0.781
388,2020-05-05 06:58:46,11.571,0.766
389,2020-05-05 06:59:22,5.667,0.866
390,2020-05-05 06:59:24,16.0,0.823
391,2020-05-05 06:59:26,10.0,0.688
392,2020-05-05 06:59:28,12.429,0.746
393,2020-05-05 06:59:36,14.444,0.708
394,2020-05-05 06:59:38,12.5,0.944
395,2020-05-05 06:59:40,10.333,0.715
396,2020-05-05 06:59:42,9.25,0.779
397,2020-05-05 07:00:00,1.5,0.558
398,2020-05-05 07:00:02,16.667,0.874
399,2020-05-05 07:00:04,10.0,0.618
400,2020-05-05 07:00:06,14.0,0.789
401,2020-05-05 07:00:10,13.571,0.813
402,2020-05-05 07:00:12,15.167,0.904
403,2020-05-05 07:00:14,10.5,0.71
404,2020-05-05 07:00:16,11.5,0.769
405,2020-05-05 07:00:28,7.5,0.835
406,2020-05-05 07:00:30,15.222,0.819
407,2020-05-05 07:00:32,6.4,0.757
408,2020-05-05 07:00:34,11.2,0.77
409,2020-05-05 07:00:38,13.429,0.925
410,2020-05-05 07:00:40,10.25,0.668
411,2020-05-05 07:00:44,6.0,0.545
412,2020-05-05 07:01:14,7.5,0.815
413,2020-05-05 07:01:16,15.714,0.952
414,2020-05-05 07:01:18,11.0,1.117
415,2020-05-05 07:01:20,14.333,0.762
416,2020-05-05 07:01:24,11.125,0.868
417,2020-05-05 07:01:26,10.667,0.817
418,2020-05-05 07:01:28,8.0,0.53
419,2020-05-05 07:01:30,8.5,0.667
420,2020-05-05 07:01:48,18.571,0.802
421,2020-05-05 07:01:50,13.167,0.892
422,2020-05-05 07:01:52,10.5,0.725
423,2020-05-05 07:01:54,12.2,0.76
424,2020-05-05 07:02:08,16.25,1.092
425,2020-05-05 07:02:10,6.5,0.579
426,2020-05-05 07:02:12,15.5,0.741
427,2020-05-05 07:02:46,4.0,0.509
428,2020-05-05 07:03:10,16.417,0.886
429,2020-05-05 07:03:12,11.0,1.038
430,2020-05-05 07:03:14,14.286,0.75
431,2020-05-05 07:03:16,6.0,0.659
432,2020-05-05 07:03:22,16.333,0.905
433,2020-05-05 07:03:24,12.5,0.892
434,2020-05-05 07:03:26,4.2,0.622
435,2020-05-05 07:03:28,11.5,0.691
